iter	Passed	Remaining
0	3	309
1	5	273
2	7	256
3	9	226
4	11	219
5	13	211
6	15	207
7	17	204
8	19	199
9	21	196
10	23	192
11	25	189
12	27	185
13	29	182
14	31	181
15	34	179
16	36	176
17	38	174
18	40	171
19	42	168
20	44	165
21	46	163
22	48	161
23	50	159
24	52	156
25	54	154
26	56	152
27	58	150
28	60	148
29	62	146
30	64	144
31	66	142
32	68	139
33	70	137
34	72	135
35	75	133
36	77	132
37	79	130
38	82	128
39	84	126
40	86	124
41	87	120
42	89	118
43	91	116
44	94	115
45	96	113
46	99	112
47	101	110
48	104	108
49	106	106
50	108	103
51	110	101
52	112	99
53	114	97
54	115	94
55	117	92
56	119	90
57	121	87
58	123	85
59	125	83
60	127	81
61	129	79
62	131	77
63	133	75
64	135	72
65	137	70
66	139	68
67	141	66
68	143	64
69	145	62
70	147	60
71	149	58
72	151	55
73	153	53
74	155	51
75	157	49
76	159	47
77	161	45
78	163	43
79	165	41
80	167	39
81	169	37
82	171	35
83	173	33
84	175	30
85	177	28
86	179	26
87	181	24
88	183	22
89	185	20
90	187	18
91	189	16
92	191	14
93	193	12
94	195	10
95	197	8
96	199	6
97	201	4
98	203	2
99	205	0
